Enr	B8	hep	DSN	atm
   6.8000000e+01   0.0000000e+00   0.0000000e+00   6.2325676e-14   4.6358414e-11
   6.8250000e+01   0.0000000e+00   0.0000000e+00   5.9511118e-14   4.5084524e-11
   6.8500000e+01   0.0000000e+00   0.0000000e+00   5.6811926e-14   4.3837587e-11
   6.8750000e+01   0.0000000e+00   0.0000000e+00   5.4222642e-14   4.2617149e-11
   6.9000000e+01   0.0000000e+00   0.0000000e+00   5.1742796e-14   4.1422809e-11
   6.9250000e+01   0.0000000e+00   0.0000000e+00   4.9363428e-14   4.0254087e-11
   6.9500000e+01   0.0000000e+00   0.0000000e+00   4.7084371e-14   3.9110597e-11
   6.9750000e+01   0.0000000e+00   0.0000000e+00   4.4900425e-14   3.7991904e-11
   7.0000000e+01   0.0000000e+00   0.0000000e+00   4.2806606e-14   3.6897584e-11
   7.0250000e+01   0.0000000e+00   0.0000000e+00   4.0802603e-14   3.5827260e-11
   7.0500000e+01   0.0000000e+00   0.0000000e+00   3.8881575e-14   3.4780497e-11
   7.0750000e+01   0.0000000e+00   0.0000000e+00   3.7043238e-14   3.3756930e-11
   7.1000000e+01   0.0000000e+00   0.0000000e+00   3.5282229e-14   3.2756146e-11
   7.1250000e+01   0.0000000e+00   0.0000000e+00   3.3596641e-14   3.1777774e-11
   7.1500000e+01   0.0000000e+00   0.0000000e+00   3.1983349e-14   3.0821431e-11
   7.1750000e+01   0.0000000e+00   0.0000000e+00   3.0438555e-14   2.9886736e-11
   7.2000000e+01   0.0000000e+00   0.0000000e+00   2.8961827e-14   2.8973344e-11
   7.2250000e+01   0.0000000e+00   0.0000000e+00   2.7547870e-14   2.8080864e-11
   7.2500000e+01   0.0000000e+00   0.0000000e+00   2.6196553e-14   2.7208965e-11
   7.2750000e+01   0.0000000e+00   0.0000000e+00   2.4903534e-14   2.6357274e-11
   7.3000000e+01   0.0000000e+00   0.0000000e+00   2.3667714e-14   2.5525459e-11
   7.3250000e+01   0.0000000e+00   0.0000000e+00   2.2486599e-14   2.4713172e-11
   7.3500000e+01   0.0000000e+00   0.0000000e+00   2.1356964e-14   2.3920069e-11
   7.3750000e+01   0.0000000e+00   0.0000000e+00   2.0278442e-14   2.3145833e-11
   7.4000000e+01   0.0000000e+00   0.0000000e+00   1.9247383e-14   2.2390121e-11
   7.4250000e+01   0.0000000e+00   0.0000000e+00   1.8263602e-14   2.1652631e-11
   7.4500000e+01   0.0000000e+00   0.0000000e+00   1.7323334e-14   2.0933021e-11
   7.4750000e+01   0.0000000e+00   0.0000000e+00   1.6426525e-14   2.0231000e-11
   7.5000000e+01   0.0000000e+00   0.0000000e+00   1.5569952e-14   1.9546241e-11
   7.5250000e+01   0.0000000e+00   0.0000000e+00   1.4753083e-14   1.8878455e-11
